Id,Label,Weight
budapest_data_science,Budapest Data Science Meetup,2711
HUG-MSSQL,HUG-MSSQL,399
Hungarian-nlp,Hungarian Natural Language Processing Meetup,968
KURT_Akademia,KÜRT Akadémia meetupok,484
Big-Data-Meetup-Budapest,Budapest Big Data Meetup,1906
Budapest-Database-Meetup,Budapest Database Meetup,619
Budapest-Cassandra-Users,Budapest Cassandra Users  - by DataStax -,112
Pro-Bono-Analytics,Pro Bono Analytics,62
Budapest-Users-of-R-Network,Budapest Users of R Network,1157
MongoDB-Budapest,MongoDB Budapest,276
Budapest-BI-Meetup,Budapest BI Meetup,1085
Budapest-Data-Visualization-Meetup,Budapest Data Visualization Meetup,659
Budapest-network-science,Budapest Network Science Community,933
Big-Data-Budapest,"Big Data, Budapest",1488
Budapest-Machine-Learning-Meetup,Budapest Machine Learning Meetup,437
Budapest-Data-Projects-Meetup,Budapest Data Projects Meetup,596
Budapest-Analytics-Rockstars,Budapest Analytics Rockstars,1037
neo4j-budapest-users,Neo4j - Budapest,345
Snowplow-Analytics-Budapest,Snowplow Analytics Budapest,83
Budapest-Spark-Meetup,Budapest Spark Meetup,554
Budapest-NOSQL,Budapest NOSQL Meetup,425
Budapest-dataSTREAM-Meetup-Series,Budapest dataSTREAM Meetup Series,793
futureofdata-budapest,Future of Data: Budapest,924
Excel-tippek-es-trukkok-tips-and-tricks-Budapest-Meetup,Excel tippek és trükkök / tips and tricks - Budapest Meetup,126
R-Ladies-Budapest,R-Ladies Budapest,411
NLP-Nyilt-est-Karizmatikus-kommunikacio-NLP-bevezető,NLP Nyílt estek,144
Budapest-GraphQL,Budapest GraphQL,116
DataFest,DataFest,117
PyData-Budapest,PyData Budapest,358
Budapest-Deep-Learning-Reading-Seminar,Budapest Deep Learning Reading Seminar,186
Neurons-AI-Hungary-Budapest,Neurons.AI (Hungary - Budapest),67
